club_name,country_name,count,examples
Royal Standard Club de Liège,Burkina Faso,3,Sacha Bansé | Abdoul Tapsoba | Abdramane Ouedraogo
Angers Sporting Club de l'Ouest,Gabon,2,Jim Allevinah | Jacques Ekomié
Club Football Estrela da Amadora,Guinea-Bissau,2,Jefferson Encada | Botche Candé
Fodbold Club Midtjylland,Guinea-Bissau,2,Franculino | Alamara Djabi
Aalborg BK,Tanzania,1,Kelvin John
AC Monza,Equatorial Guinea,1,Pepín Machín
Alanyaspor,Benin,1,Steve Mounié
Almere City FC,Equatorial Guinea,1,Álex Balboa
Angers Sporting Club de l'Ouest,Benin,1,Cédric Hountondji
Angers Sporting Club de l'Ouest,Burkina Faso,1,Hervé Koffi
Angers Sporting Club de l'Ouest,Central African Republic,1,Goduine Koyalipou
Aris Thessalonikis,Mauritius,1,Lindsay Rose
Association de la Jeunesse auxerroise,French Guiana,1,Donovan Léon
Association de la Jeunesse auxerroise,Madagascar,1,Rayan Raveloson
Athletic Club Bilbao,Guinea-Bissau,1,Álvaro Djaló
Bayer 04 Leverkusen Fußball,Burkina Faso,1,Edmond Tapsoba
Beşiktaş Jimnastik Kulübü,Benin,1,Junior Olaitan
Boavista FC,Guinea-Bissau,1,Augusto Dabó
Boavista FC,Sierra Leone,1,Osman Kakay
Bodrum FK,Martinique,1,Christophe Hérelle
Brentford Football Club,Burkina Faso,1,Dango Ouattara
Casa Pia Atlético Clube,Guinea-Bissau,1,Clau Mendes
Cercle Brugge Koninklijke Sportvereniging,Burkina Faso,1,Abdoul Kader Ouattara
Cercle Brugge Koninklijke Sportvereniging,Togo,1,Kévin Denkey
Club Football Estrela da Amadora,Sao Tome and Principe,1,Sérgio Malé
Deportivo Alavés S. A. D.,Equatorial Guinea,1,Jesús Owono
Dundee United Football Club,Guinea-Bissau,1,Panutche Camara
Eintracht Frankfurt Fußball AG,Syria,1,Mahmoud Dahoud
Everton Football Club,Guinea-Bissau,1,Beto
FC Oleksandriya,Guinea-Bissau,1,Mauro Rodrigues
