club_name,country_name,count,examples
Angers Sporting Club de l'Ouest,Cote d'Ivoire,2,Abdoulaye Bamba | Jean-Eudes Aholou
Nijmegen Eendracht Combinatie,Suriname,2,Tjaronn Chery | Virgil Misidjan
1. Fußball- und Sportverein Mainz 05,Suriname,1,Sheraldo Becker
1. Fußballclub Union Berlin,Guadeloupe,1,Jérôme Roussillon
A.G.S Asteras Tripolis,Cote d'Ivoire,1,Simon Deli
A.G.S Asteras Tripolis,Guinea,1,Issiaga Sylla
Akron Togliatti,Congo,1,Mavis Tchibota
Alanyaspor,Benin,1,Steve Mounié
Angers Sporting Club de l'Ouest,Benin,1,Cédric Hountondji
Aris Thessalonikis,Mauritius,1,Lindsay Rose
Association de la Jeunesse auxerroise,French Guiana,1,Donovan Léon
AVS Futebol SAD,Cape Verde,1,Zé Luís
Beşiktaş Jimnastik Kulübü,The Gambia,1,Omar Colley
Boavista FC,Mali,1,Abdoulay Diaby
Bodrum FK,Angola,1,Fredy
Bodrum FK,Martinique,1,Christophe Hérelle
Casa Pia Atlético Clube,Angola,1,Ricardo Batista
Cercle Brugge Koninklijke Sportvereniging,Curacao,1,Eloy Room
Clube Desportivo de Tondela,Cape Verde,1,Hélder Tavares
Clube Desportivo Nacional,Angola,1,Lucas João
Clube Desportivo Nacional,Cameroon,1,Joel Tagueu
Dinamo Makhachkala,Cote d'Ivoire,1,Victorien Angban
Eintracht Frankfurt Fußball AG,Syria,1,Mahmoud Dahoud
Everton Football Club,Mali,1,Abdoulaye Doucouré
FC Khimki (-2025),Cote d'Ivoire,1,Cédric Gogoua
FC Rukh Lviv,Guadeloupe,1,Ange-Freddy Plumain
Fodbold Club Midtjylland,Sierra Leone,1,Alhaji Kamara
Football Club de Metz,Cote d'Ivoire,1,Jean-Philippe Gbamin
Football Club de Nantes,Cameroon,1,Jean-Charles Castelletto
Football Club Groningen,Curacao,1,Leandro Bacuna
Football Club Lorient-Bretagne Sud,Benin,1,Aiyegun Tosin
Football Club Utrecht,Cote d'Ivoire,1,Sébastien Haller
Football Club Volendam,Curacao,1,Brandley Kuwas
Football Club Volendam,Togo,1,Mawouna Amevor
Futebol Clube do Porto,Cote d'Ivoire,1,Seko Fofana
Galatasaray Spor Kulübü,Cote d'Ivoire,1,Wilfried Zaha
Galatasaray Spor Kulübü,Gabon,1,Mario Lemina
Genoa Cricket and Football Club,Cote d'Ivoire,1,Maxwel Cornet
Getafe Club de Fútbol S. A. D. Team Dubai,Cameroon,1,Allan Nyom
Getafe Club de Fútbol S. A. D. Team Dubai,Togo,1,Dakonam Djené
Gil Vicente Futebol Clube,Angola,1,Buatu
Grupo Desportivo Estoril Praia,Angola,1,Hélder Costa
Hatayspor,Cameroon,1,Vincent Aboubakar
Heracles Almelo,Suriname,1,Kelvin Leerdam
Juventus Football Club,Cote d'Ivoire,1,Jérémie Boga
Kayserispor Kulübü,Cameroon,1,Stéphane Bahoken
Kayserispor Kulübü,Curacao,1,Joshua Brenet
Kayserispor Kulübü,Guinea,1,Julian Jeanvier
Kayserispor Kulübü,Guinea-Bissau,1,Carlos Mané
Kayserispor Kulübü,Suriname,1,Stefano Denswil
Kocaelispor Kulübü,Mali,1,Massadio Haïdara
Koninklijke Racing Club Genk,DR Congo,1,Joris Kayembe
Konyaspor,Curacao,1,Riechedly Bazoer
KV Kortrijk,Madagascar,1,Marco Ilaimaharitra
Le Havre Athletic Club,DR Congo,1,Lionel Mpasi-Nzau
Le Havre Athletic Club,Guinea,1,Abdoulaye Touré
Le Havre Athletic Club,Tanzania,1,Ally Samatta
Lille Olympique Sporting Club,DR Congo,1,Chancel Mbemba
Livingston Football Club,DR Congo,1,Jeremy Bokila
Montpellier HSC,Guadeloupe,1,Christopher Jullien
Montpellier HSC,Mali,1,Birama Touré
Nottingham Forest Football Club,Cote d'Ivoire,1,Willy Boly
Olympique de Marseille,Central African Republic,1,Geoffrey Kondogbia
Olympique de Marseille,Gabon,1,Pierre-Emerick Aubameyang
Olympique Lyonnais,Angola,1,Clinton Mata
Racing Club de Lens,DR Congo,1,Arthur Masuaku
Real Betis Balompié S.A.D.,DR Congo,1,Cédric Bakambu
Real Club Deportivo Mallorca S.A.D.,Equatorial Guinea,1,Omar Mascarell
Royal Antwerp Football Club,Mali,1,Kiki Kouyaté
Samsunspor,Cameroon,1,Olivier Ntcham
SC Farense,The Gambia,1,Yusupha Njie
Sivasspor,Cape Verde,1,Garry Rodrigues
Sivasspor,Guinea,1,Fodé Koita
Sportclub Heerenveen,Guinea,1,Amara Condé
Sportclub Telstar,Suriname,1,Dion Malone
Stade Rennais Football Club,Central African Republic,1,Geoffrey Lembet
Sunderland Association Football Club,Burkina Faso,1,Bertrand Traoré
Trabzonspor Kulübü,Cameroon,1,André Onana
Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,Togo,1,Ihlas Bebou
Valencia Club de Fútbol S. A. D.,Guadeloupe,1,Dimitri Foulquier
Vejle Boldklub,DR Congo,1,Yeni Ngbakoto
Vejle Boldklub,The Gambia,1,Hamza Barry
Venezia FC,Suriname,1,Ridgeciano Haps
Verona Hellas Football Club,Cote d'Ivoire,1,Jean-Daniel Akpa Akpro
Vitória Sport Clube,Angola,1,Bruno Gaspar
Vitória Sport Clube,Cape Verde,1,Bruno Varela
Çaykur Rizespor Kulübü,The Gambia,1,Ali Sowe
