club_name,country_name,count,examples
Akron Togliatti,Congo,1,Mavis Tchibota
Alanyaspor,Benin,1,Steve Mounié
Angers Sporting Club de l'Ouest,Benin,1,Cédric Hountondji
Aris Thessalonikis,Mauritius,1,Lindsay Rose
Association de la Jeunesse auxerroise,French Guiana,1,Donovan Léon
Bodrum FK,Martinique,1,Christophe Hérelle
Eintracht Frankfurt Fußball AG,Syria,1,Mahmoud Dahoud
Fodbold Club Midtjylland,Sierra Leone,1,Alhaji Kamara
Football Club Lorient-Bretagne Sud,Benin,1,Aiyegun Tosin
Football Club Volendam,Togo,1,Mawouna Amevor
Galatasaray Spor Kulübü,Gabon,1,Mario Lemina
Getafe Club de Fútbol S. A. D. Team Dubai,Togo,1,Dakonam Djené
Kayserispor Kulübü,Guinea-Bissau,1,Carlos Mané
KV Kortrijk,Madagascar,1,Marco Ilaimaharitra
Le Havre Athletic Club,Tanzania,1,Ally Samatta
Olympique de Marseille,Central African Republic,1,Geoffrey Kondogbia
Olympique de Marseille,Gabon,1,Pierre-Emerick Aubameyang
Real Club Deportivo Mallorca S.A.D.,Equatorial Guinea,1,Omar Mascarell
Stade Rennais Football Club,Central African Republic,1,Geoffrey Lembet
Sunderland Association Football Club,Burkina Faso,1,Bertrand Traoré
Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,Togo,1,Ihlas Bebou
